ID,R2_implementation_yes_SM1,R2_implementation_yes_SM2,R2_implementation_yes_SM3,R2_implementation_yes_SM4,R2_implementation_yes_SM5,R2_implementation_yes_SM6,R2_implementation_yes_SM7,R2_implementation_yes_NM1,R2_implementation_yes_NM2,R2_implementation_yes_NM3,R2_implementation_yes_NM4,R2_implementation_yes_NM5,R2_implementation_yes_NM6,R2_implementation_yes_NM7,R2_implementation_yes_NM8,R2_implementation_yes_NM9,R2_implementation_yes_NM10,R2_implementation_yes_NM11,R2_implementation_yes_ins,Q2_no_action_reason_SM1,Q2_no_action_reason_SM2,Q2_no_action_reason_SM3,Q2_no_action_reason_SM4,Q2_no_action_reason_SM5,Q2_no_action_reason_SM6,Q2_no_action_reason_SM7,Q2_no_action_reason_NM1,Q2_no_action_reason_NM2,Q2_no_action_reason_NM3,Q2_no_action_reason_NM4,Q2_no_action_reason_NM5,Q2_no_action_reason_NM6,Q2_no_action_reason_NM7,Q2_no_action_reason_NM8,Q2_no_action_reason_NM9,Q2_no_action_reason_NM10,Q2_no_action_reason_NM11,Q3a_implementation_cost_SM1,Q3a_implementation_cost_SM2,Q3a_implementation_cost_SM3,Q3a_implementation_cost_SM4,Q3a_implementation_cost_SM5,Q3a_implementation_cost_SM6,Q3a_implementation_cost_SM7,Q3a_implementation_cost_NM1,Q3a_implementation_cost_NM2,Q3a_implementation_cost_NM3,Q3a_implementation_cost_NM4,Q3a_implementation_cost_NM5,Q3a_implementation_cost_NM6,Q3a_implementation_cost_NM7,Q3a_implementation_cost_NM8,Q3a_implementation_cost_NM9,Q3a_implementation_cost_NM10,Q3a_implementation_cost_NM11,Q3a_implementation_cost_ins,Q3b_perc_cost_SM1,Q3b_perc_cost_SM2,Q3b_perc_cost_SM3,Q3b_perc_cost_SM4,Q3b_perc_cost_SM5,Q3b_perc_cost_SM6,Q3b_perc_cost_SM7,Q3b_perc_cost_NM1,Q3b_perc_cost_NM2,Q3b_perc_cost_NM3,Q3b_perc_cost_NM4,Q3b_perc_cost_NM5,Q3b_perc_cost_NM6,Q3b_perc_cost_NM7,Q3b_perc_cost_NM8,Q3b_perc_cost_NM9,Q3b_perc_cost_NM10,Q3b_perc_cost_NM11,Q3b_perc_cost_ins,Q4_measure_loan,R02a_perc_prob_change,R02_perc_prob,R02_perc_prob_other,R03a_perc_damage_change,R03_perc_damage,R04a_perc_health_change,R04_perc_health,R05a_worry_change,R05_worry,R013_recent_flood_exp,R013a_recent_flood_damage,R013b_recent_flood_health,R013c_recent_flood_cost,R06a_media_freq,R06b_social_media_freq,R010_flood_convo,R011_local_flood_convo,s_absorb_change3,R01_resilience_1,R01a_resilience_2_change,R01_resilience_2,R01a_resilience_3_change,R01_resilience_3,R01a_resilience_4_change,R01_resilience_4,R01a_resilience_5_change,R01_resilience_5,R01a_resilience_6_change,R01_resilience_6,R09_savings_change,R09a_savings_change_frac,R08a_economic_comfort_change,R08_economic_comfort,R012_lost_job,R012a_lost_job_impact,Q22_recovery_time,Q22a_no_recovery_since,Q23_disrupted_electricity,Q23_disrupted_water,Q23_disrupted_waste,Q23_disrupted_travel,Q23_disrupted_internet,Q23_disrupted_food,Q23_disrupted_other
639,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,-7.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1.0,,1,,0,,,,2,1,0,,1,,1,,1,,1,,1,,1,,3,,1,,0,,,,,,,,,,
663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1.0,,1,,0,,,,1,1,0,,1,,1,,1,,1,,1,,1,,3,,1,,0,,,,,,,,,,
853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1.0,,1,,0,,,,3,1,0,,1,,1,,1,,1,,1,,1,,3,,1,,0,,,,,,,,,,
882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,,-7.0,,-7.0,,,60.0,-7.0,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1.0,,1,,0,,,,3,1,1,1.0,1,,0,3.0,1,,1,,1,,1,,2,-7.0,1,,0,,,,,,,,,,
964,1.0,,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,1.0,,,,,,2.0,,,,,-7.0,,,,,,,,,,-7.0,,,,,,,,,,,5000.0,-7.0,,-7.0,-7.0,-7.0,,-7.0,,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0,,16.0,1,,,1,,1.0,,1,,1,3.0,3.0,-7.0,4,4,3,2.0,1,,1,,1,,1,,1,,1,,1,-7.0,1,,0,,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1.0,,1,,0,,,,1,1,0,,1,,1,,1,,1,,1,,1,,3,,1,,0,,,,,,,,,,
1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1.0,,1,,0,,,,3,1,0,,1,,0,4.0,1,,1,,1,,1,,3,,1,,0,,,,,,,,,,
1091,,,,2.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,8.0,,,,,,,,,,,,400.0,0.0,,0.0,,,,0.0,2000.0,500.0,,,0.0,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,1,,,0,4.0,1.0,,1,,0,,,,1,1,1,0.0,1,,1,,1,,1,,0,1.0,1,,1,5.0,1,,0,,,,,,,,,,
1272,,,,,2.0,1.0,,,,,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,-7.0,,0.0,,,0.0,-7.0,-7.0,0.0,,0.0,,0.0,,,,,,-7.0,,,,,,,,,,0.0,,0.0,,,0.0,1,,,1,,1.0,,1,,0,,,,3,1,0,,1,,1,,1,,1,,1,,1,,1,-7.0,1,,0,,,,,,,,,,
1578,,,,,,2.0,,2.0,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,-7.0,,,,,,,,-7.0,,-7.0,,,-7.0,-7.0,,-7.0,,,,,,,1,,,1,,1.0,,1,,1,3.0,3.0,-7.0,3,3,3,2.0,1,,1,,1,,1,,1,,1,,3,,1,,1,3.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
