ID,R2_implementation_yes_SM1,R2_implementation_yes_SM2,R2_implementation_yes_SM3,R2_implementation_yes_SM4,R2_implementation_yes_SM5,R2_implementation_yes_SM6,R2_implementation_yes_SM7,R2_implementation_yes_NM1,R2_implementation_yes_NM2,R2_implementation_yes_NM3,R2_implementation_yes_NM4,R2_implementation_yes_NM5,R2_implementation_yes_NM6,R2_implementation_yes_NM7,R2_implementation_yes_NM8,R2_implementation_yes_NM9,R2_implementation_yes_NM10,R2_implementation_yes_NM11,R2_implementation_no_SM1,R2_implementation_no_SM2,R2_implementation_no_SM3,R2_implementation_no_SM4,R2_implementation_no_SM5,R2_implementation_no_SM6,R2_implementation_no_SM7,R2_implementation_no_NM1,R2_implementation_no_NM2,R2_implementation_no_NM3,R2_implementation_no_NM4,R2_implementation_no_NM5,R2_implementation_no_NM6,R2_implementation_no_NM7,R2_implementation_no_NM8,R2_implementation_no_NM9,R2_implementation_no_NM10,R2_implementation_no_NM11,R2a_implementation_change_SM1,R2a_implementation_change_SM2,R2a_implementation_change_SM3,R2a_implementation_change_SM4,R2a_implementation_change_SM5,R2a_implementation_change_SM6,R2a_implementation_change_SM7,R2a_implementation_change_NM1,R2a_implementation_change_NM2,R2a_implementation_change_NM3,R2a_implementation_change_NM4,R2a_implementation_change_NM5,R2a_implementation_change_NM6,R2a_implementation_change_NM7,R2a_implementation_change_NM8,R2a_implementation_change_NM9,R2a_implementation_change_NM10,R2a_implementation_change_NM11,R02a_perc_prob_change ,R02_perc_prob,R02_perc_prob_other,R03a_perc_damage_change ,R03_perc_damage,R04a_perc_health_change,R04_perc_health,R05a_worry_change,R05_worry,R06a_media_freq,R06b_social_media_freq ,R010_flood_convo,R011_local_flood_convo,R01a_resilience_1_change,R01_resilience_1,R01a_resilience_2_change,R01_resilience_2,R01a_resilience_3_change,R01_resilience_3,R01a_resilience_4_change,R01_resilience_4,R01a_resilience_5_change,R01_resilience_5,R01a_resilience_6_change,R01_resilience_6,Q17a_covid_risk,Q17b_covid_survival,Q17c_covid_asymp,Q18_lottery_chance,Q19a_car_risk,Q19b_car_impact,Q20a_plane_risk,Q20b_plane_survival,Q21_move_city,Q22_move_houses,Q23_social_network,R09_savings_change,R09a_savings_change_frac,R08a_economic_comfort_change,R08_economic_comfort,R012_lost_job,R012a_lost_job_impact,S0_chars_place,S0_chars_flood_risk,S0_chars_social_net,S0_chars_employment,S0_chars_cost,S1_current_situation,S2_moderate_flood,S3_heavy_flood
639,,,,,,,,2.0,3.0,3.0,1.0,3.0,3.0,3.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,1,0,,1,,1,,1,,1,,1,,1,,50,50.0,0,0.0,1.0,1,0,50.0,1,0,2,3,,1,,0,,1,3,2,1,1,3,3,3
663,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,1,0,,1,,1,,1,,1,,1,,1,,1,99.0,80,1.0,1.0,2,1,0.0,1,1,3,2,-10.0,1,,0,,2,1,4,2,2,2,3,2
853,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,1,0,,0,5.0,0,5.0,1,,0,5.0,1,,1,,50,95.0,20,0.3,10.0,1,0,0.1,2,1,1,3,,1,,0,,1,1,1,1,1,3,3,3
882,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,4,1,0,,1,,1,,1,,1,,1,,1,,50,,,1.0,,3,10,80.0,1,0,3,3,,1,,0,,2,3,3,1,2,3,2,2
964,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,3,3,0,,1,,1,,1,,1,,1,,1,,0,,,,,3,,,1,0,3,2,30.0,1,,1,2.0,1,1,1,2,1,2,2,2
1012,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,1,0,,1,,1,,1,,1,,1,,1,,50,50.0,50,1.0,50.0,98,50,50.0,1,0,2,3,,1,,0,,1,3,2,2,2,3,3,3
1063,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,2,1,0,,1,,1,,1,,1,,1,,1,,25,90.0,30,0.0,,98,,,1,3,1,2,25.0,1,,0,,1,3,2,1,2,3,3,2
1091,,,,2.0,1.0,,,,,3.0,2.0,1.0,1.0,,3.0,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,2.0,1,,,0,5.0,1,,1,,2,1,1,0.0,0,3.0,1,,1,,1,,1,,1,,25,90.0,25,36.0,2.0,2,2,50.0,1,0,4,2,15.0,1,,0,,2,3,4,1,1,3,2,1
1272,,,,,2.0,2.0,3.0,,,,2.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,4,1,0,,1,,1,,1,,1,,1,,1,,50,95.0,50,1.0,,98,,,1,0,2,1,20.0,1,,1,1.0,1,3,2,2,2,3,1,1
1578,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,,,,,,2.0,,1.0,,,1.0,1.0,,1.0,,,,,1,,,1,,1,,1,,4,2,2,2.0,1,,1,,1,,1,,1,,1,,,,,1.1,,98,2,0.0,3,2,4,3,,1,,0,,1,3,1,2,1,1,2,1
